,Random,InterleavedRandom,InterleavedNewFirst,InterleavedOldFirst,StochasticLinear,StochasticSquare,StochasticExponential
245,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
246,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
247,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
248,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
249,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
250,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
251,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
252,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
253,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
254,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
255,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
256,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
257,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
258,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
259,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
260,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
261,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
262,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
263,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
264,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
265,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
266,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
267,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
268,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
269,8000.0,8000.0,8000.0,8000.0,50000.0,50000.0,50000.0
270,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
271,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
272,7000.0,7000.0,7000.0,7000.0,50000.0,50000.0,50000.0
